specObjID,z,type,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,w1mpro,w1snr,w2mpro,w2snr,w3mpro,w3snr,w4mpro,w4snr
343499554206803968,0.10303620000000001,ext,20.39733,19.00948,18.19119,17.92962,17.67403,19.08105,17.75767,17.096970000000002,16.74135,16.508029999999998,0.1208499,0.09416544,0.06514322,0.04840839,0.03600695,14.434000000000001,36.9,14.206,23.3,10.825999999999999,14.0,8.877,3.3
343502852741687296,0.0948595,ext,21.20779,19.84414,19.081329999999998,18.73566,18.46005,19.89357,18.50916,17.73787,17.319020000000002,16.99596,0.11630309999999999,0.09062258,0.06269228,0.04658708,0.03465223,14.575999999999999,35.8,14.407,21.4,11.052,12.1,8.79,1.9
343490208357967872,0.08547468,ext,21.360329999999998,19.50314,18.58563,18.20261,17.88206,20.36834,18.42204,17.5224,17.11634,16.76724,0.1146721,0.08935169999999999,0.06181309,0.04593375,0.03416627,14.732000000000001,34.8,14.75,17.3,13.01,-1.6,9.502,-0.5
343500378840524800,0.12383469999999999,ext,21.55804,19.76928,18.61319,18.305320000000002,17.96696,20.55971,18.64365,17.60248,17.18655,16.85406,0.1313352,0.1023355,0.07079522,0.05260843,0.03913101,14.705,34.7,14.509,19.8,12.627,1.0,9.459,0.1
342440174686332928,0.3845737,ext,25.30764,21.700570000000003,20.05861,19.21174,18.87531,26.34367,20.72855,19.026120000000002,18.21106,17.78357,0.1250442,0.09743357,0.06740409,0.05008847,0.03725662,14.897,32.6,14.717,17.7,12.698,0.9,8.982000000000001,1.2
348005909005363200,0.1117529,ext,20.844910000000002,19.58749,18.79485,18.37574,18.02824,19.21193,18.02415,17.38804,17.01591,16.76182,0.1936233,0.15087,0.1043711,0.07755895,0.05768961,14.231,38.8,13.985,26.9,10.135,23.8,8.697000000000001,3.8
348007008516990976,0.1416581,ext,22.02606,20.008960000000002,18.905829999999998,18.37057,17.968429999999998,19.47717,17.81107,16.926660000000002,16.47743,16.13741,0.20237449999999998,0.1576889,0.1090884,0.0810644,0.06029702,13.884,40.9,13.72,30.5,10.782,14.3,8.801,1.3
348003979357087744,0.1415919,ext,22.02606,20.008960000000002,18.905829999999998,18.37057,17.968429999999998,19.47717,17.81107,16.926660000000002,16.47743,16.13741,0.20237449999999998,0.1576889,0.1090884,0.0810644,0.06029702,13.884,40.9,13.72,30.5,10.782,14.3,8.801,1.3
348006733639084032,0.1926386,ext,22.4309,20.31401,18.96209,18.46721,18.061729999999997,21.33785,19.12485,17.80353,17.32133,16.9459,0.20784729999999998,0.16195320000000002,0.1120385,0.0832566,0.06192762,14.402999999999999,38.4,14.155,24.1,12.765999999999998,2.5,9.366,-0.3
348002330089646080,0.192677,ext,22.4309,20.31401,18.96209,18.46721,18.061729999999997,21.33785,19.12485,17.80353,17.32133,16.9459,0.20784729999999998,0.16195320000000002,0.1120385,0.0832566,0.06192762,14.402999999999999,38.4,14.155,24.1,12.765999999999998,2.5,9.366,-0.3
